ID_atomic_exc,File ID,Axis,Skill,Atomic Skill,Exercise Text,Solution
SC_ma_24_B_03_01,SC_ma_24_B_03.md,الدوال العددية,دراسة دوال,حساب المشتقة وتشكيل جدول التغيرات,"**التمرين 1:**

لتكن الدالة العددية $f$ المعرفة على المجال $[1; +\infty[$ بالعبارة:
$$f(x) = \frac{2x+3}{x+1}$$
**1. أحسب المشتقة $f'(x)$ للدالة $f$.**
**2. استنتج اتجاه تغير الدالة $f$ على المجال $[1; +\infty[$.**
**3. شكل جدول تغيرات الدالة $f$ على هذا المجال.**","**الحل النموذجي للتمرين 1:**

لدينا الدالة $f(x) = \frac{2x+3}{x+1}$ معرفة على المجال $[1; +\infty[$.

**1. حساب المشتقة $f'(x)$:**
الدالة $f$ قابلة للاشتقاق على المجال $[1; +\infty[$، وهي من الشكل $\frac{u}{v}$ حيث $u(x) = 2x+3$ و $v(x) = x+1$.
إذن $u'(x) = 2$ و $v'(x) = 1$.
باستخدام قاعدة الاشتقاق $\left(\frac{u}{v}\right)' = \frac{u'v - uv'}{v^2}$:
$$f'(x) = \frac{2(x+1) - (2x+3)(1)}{(x+1)^2}$$
$$f'(x) = \frac{2x+2 - 2x-3}{(x+1)^2}$$
$$f'(x) = \frac{-1}{(x+1)^2}$$

**2. استنتاج اتجاه تغير الدالة $f$:**
من أجل كل $x \in [1; +\infty[$، لدينا $(x+1)^2 > 0$.
وبما أن البسط هو $-1$ (عدد سالب)، فإن $f'(x) = \frac{-1}{(x+1)^2} < 0$.
بما أن المشتقة $f'(x)$ سالبة تمامًا على المجال $[1; +\infty[$، فإن الدالة $f$ متناقصة تمامًا على هذا المجال.

**3. تشكيل جدول تغيرات الدالة $f$:**
نحتاج إلى حساب قيم الدالة عند أطراف المجال.
$f(1) = \frac{2(1)+3}{1+1} = \frac{5}{2} = 2.5$
نحسب نهاية الدالة $f$ عندما $x$ يؤول إلى $+\infty$:
$$\lim_{x \to +\infty} f(x) = \lim_{x \to +\infty} \frac{2x+3}{x+1} = \lim_{x \to +\infty} \frac{x(2+\frac{3}{x})}{x(1+\frac{1}{x})} = \lim_{x \to +\infty} \frac{2+\frac{3}{x}}{1+\frac{1}{x}} = \frac{2+0}{1+0} = 2$$

إذن جدول التغيرات هو:

| $x$             | $1$                 | $\quad$             | $+\infty$          |
| :-------------- | :------------------ | :------------------- | :----------------- |
| $f'(x)$         | $\quad$            | $-$                  | $\quad$           |
| $f(x)$          | $2.5$               | $\searrow$          | $2$                |"
SC_ma_24_B_03_02,SC_ma_24_B_03.md,الدوال العددية,دراسة خواص الدالة,استنتاج المحدودية من جدول التغيرات,"**التمرين 2:**

لتكن الدالة العددية $g$ المعرفة على المجال $[0; +\infty[$، والتي جدول تغيراتها معطى كما يلي:

| $x$             | $0$                 | $\quad$             | $+\infty$          |
| :-------------- | :------------------ | :------------------- | :----------------- |
| $g'(x)$         | $\quad$            | $+$                  | $\quad$           |
| $g(x)$          | $1$                 | $\nearrow$          | $3$                |

**1. هل الدالة $g$ محدودة من الأسفل؟ إذا كان كذلك، ما هو حدها الأدنى؟**
**2. هل الدالة $g$ محدودة من الأعلى؟ إذا كان كذلك، ما هو حدها الأعلى؟**
**3. استنتج الحصر الذي يحقق $g(x)$ من أجل كل $x$ من المجال $[0; +\infty[$.**","**الحل النموذجي للتمرين 2:**

من جدول تغيرات الدالة $g$ المعرفة على المجال $[0; +\infty[$:
- الدالة $g$ متزايدة تمامًا على المجال $[0; +\infty[$.
- $g(0) = 1$.
- $\lim_{x \to +\infty} g(x) = 3$.

**1. هل الدالة $g$ محدودة من الأسفل؟**
نعم، الدالة $g$ محدودة من الأسفل. بما أن الدالة متزايدة على $[0; +\infty[$، فإن أصغر قيمة تبلغها هي $g(0)$.
حدها الأدنى هو $g(0) = 1$.
إذن، من أجل كل $x \in [0; +\infty[$, $g(x) \geq 1$.

**2. هل الدالة $g$ محدودة من الأعلى؟**
نعم، الدالة $g$ محدودة من الأعلى. بما أن الدالة متزايدة وتؤول إلى $3$ عند $+\infty$ (ولا تبلغه)، فإن $3$ هو حدها الأعلى (وليس قيمة عظمى).
حدها الأعلى هو $3$.
إذن، من أجل كل $x \in [0; +\infty[$, $g(x) < 3$.

**3. استنتاج الحصر:**
بجمع الاستنتاجين السابقين:
من أجل كل $x$ من المجال $[0; +\infty[$، فإن $1 \leq g(x) < 3$."
SC_ma_24_B_03_03,SC_ma_24_B_03.md,المتتاليات العددية,دراسة المتتاليات,دراسة نسبة حدين متتاليين لمتتالية,"**التمرين 3:**

لتكن المتتالية العددية $(u_n)$ المعرفة من أجل كل عدد طبيعي $n \geq 1$ بـ: $u_n = \frac{n+1}{3^n}$.

**1. أحسب $u_1$ و $u_2$.**
**2. بين أنه من أجل كل عدد طبيعي $n \geq 1$، فإن $\frac{u_{n+1}}{u_n} = \frac{1}{3} \left(1 + \frac{1}{n+1}\right)$.**
**3. استنتج اتجاه تغير المتتالية $(u_n)$ من أجل $n \geq 1$.**","**الحل النموذجي للتمرين 3:**

لدينا المتتالية $(u_n)$ المعرفة من أجل كل عدد طبيعي $n \geq 1$ بـ: $u_n = \frac{n+1}{3^n}$.

**1. حساب $u_1$ و $u_2$:**
من أجل $n=1$: $u_1 = \frac{1+1}{3^1} = \frac{2}{3}$.
من أجل $n=2$: $u_2 = \frac{2+1}{3^2} = \frac{3}{9} = \frac{1}{3}$.

**2. تبيان أن $\frac{u_{n+1}}{u_n} = \frac{1}{3} \left(1 + \frac{1}{n+1}\right)$:**
لدينا $u_{n+1} = \frac{(n+1)+1}{3^{n+1}} = \frac{n+2}{3^{n+1}}$.
إذن، النسبة $\frac{u_{n+1}}{u_n}$ هي:
$$\frac{u_{n+1}}{u_n} = \frac{\frac{n+2}{3^{n+1}}}{\frac{n+1}{3^n}} = \frac{n+2}{3^{n+1}} \times \frac{3^n}{n+1}$$
$$= \frac{n+2}{3 \cdot 3^n} \times \frac{3^n}{n+1} = \frac{n+2}{3(n+1)}$$
يمكن إعادة كتابة $\frac{n+2}{n+1}$ كالتالي: $\frac{n+1+1}{n+1} = \frac{n+1}{n+1} + \frac{1}{n+1} = 1 + \frac{1}{n+1}$.
إذن:
$$\frac{u_{n+1}}{u_n} = \frac{1}{3} \left(1 + \frac{1}{n+1}\right)$$
وهو المطلوب إثباته.

**3. استنتاج اتجاه تغير المتتالية $(u_n)$:**
لدراسة اتجاه تغير المتتالية، ندرس إشارة $u_{n+1} - u_n$ أو مقارنة $\frac{u_{n+1}}{u_n}$ بالعدد $1$ (بما أن حدود المتتالية موجبة).
لدينا من السؤال السابق: $\frac{u_{n+1}}{u_n} = \frac{1}{3} \left(1 + \frac{1}{n+1}\right)$.
بما أن $n \geq 1$:
$n+1 \geq 2$.
$0 < \frac{1}{n+1} \leq \frac{1}{2}$.
$1 < 1 + \frac{1}{n+1} \leq 1 + \frac{1}{2} = \frac{3}{2}$.
إذن:
$\frac{1}{3} \cdot 1 < \frac{1}{3} \left(1 + \frac{1}{n+1}\right) \leq \frac{1}{3} \cdot \frac{3}{2}$
$\frac{1}{3} < \frac{u_{n+1}}{u_n} \leq \frac{1}{2}$.
في كلتا الحالتين، $\frac{u_{n+1}}{u_n} \leq \frac{1}{2} < 1$.
بما أن $\frac{u_{n+1}}{u_n} < 1$ لجميع قيم $n \geq 1$ (وحدود المتتالية موجبة)، فإن المتتالية $(u_n)$ متناقصة تمامًا."
SC_ma_24_B_03_04,SC_ma_24_B_03.md,المتتاليات العددية,البرهان بالتراجع وحساب النهايات,إثبات علاقة بالتراجع وحساب نهاية متتالية هندسية,"**التمرين 4:**

لتكن المتتالية العددية $(v_n)$ المعرفة من أجل كل عدد طبيعي $n \geq 0$ بـ: $v_n = \frac{1}{2^n}$.

**1. برهن بالتراجع أنه من أجل كل عدد طبيعي $n \geq 0$: $v_n > 0$.**
**2. نعتبر المتتالية $(w_n)$ المعرفة بـ $w_n = 3 \times (0.7)^{n-1}$ من أجل $n \geq 1$.**
       **أ) أوجد طبيعة المتتالية $(w_n)$ وعين أساسها وحدها الأول.**
       **ب) أحسب نهاية المتتالية $(w_n)$ عندما $n \to +\infty$.**","**الحل النموذجي للتمرين 4:**

**1. البرهان بالتراجع أنه من أجل كل عدد طبيعي $n \geq 0$: $v_n > 0$.**
لتكن الخاصية $P(n): v_n > 0$.

*   **التحقق من صحة $P(0)$:**
        من أجل $n=0$: $v_0 = \frac{1}{2^0} = \frac{1}{1} = 1$.
        بما أن $1 > 0$، فإن $P(0)$ صحيحة.

*   **فرض صحة $P(k)$ من أجل عدد طبيعي $k \geq 0$ واثبات صحة $P(k+1)$:**
        نفرض أن $P(k)$ صحيحة، أي $v_k > 0$.
        علينا أن نبرهن أن $P(k+1)$ صحيحة، أي $v_{k+1} > 0$.
        لدينا $v_{k+1} = \frac{1}{2^{k+1}} = \frac{1}{2 \cdot 2^k} = \frac{1}{2} v_k$.
        بما أننا افترضنا أن $v_k > 0$ و $\frac{1}{2} > 0$، فإن جداءهما سيكون موجبًا.
        إذن $v_{k+1} > 0$.
        ومنه $P(k+1)$ صحيحة.

*   **الخلاصة:**
        بما أن الخاصية صحيحة من أجل $n=0$، وإذا فرضنا أنها صحيحة من أجل $k$ فإنها تبقى صحيحة من أجل $k+1$، فإنه حسب مبدأ البرهان بالتراجع، الخاصية $P(n)$ صحيحة من أجل كل عدد طبيعي $n \geq 0$. أي $v_n > 0$.

**2. دراسة المتتالية $(w_n)$ المعرفة بـ $w_n = 3 \times (0.7)^{n-1}$ من أجل $n \geq 1$.**

**أ) طبيعة المتتالية $(w_n)$ وأساسها وحدها الأول:**
المتتالية $(w_n)$ هي متتالية هندسية.
يمكن كتابتها على الشكل $w_n = w_1 \times q^{n-1}$.
أساسها $q = 0.7$.
حدها الأول هو من أجل $n=1$: $w_1 = 3 \times (0.7)^{1-1} = 3 \times (0.7)^0 = 3 \times 1 = 3$.
إذن، $(w_n)$ متتالية هندسية حدها الأول $w_1=3$ وأساسها $q=0.7$.

**ب) حساب نهاية المتتالية $(w_n)$ عندما $n \to +\infty$:**
نهاية متتالية هندسية $w_n = w_1 \times q^{n-1}$ تعتمد على قيمة الأساس $q$.
بما أن $|q| = |0.7| = 0.7 < 1$.
فإن $\lim_{n \to +\infty} q^{n-1} = 0$.
وبالتالي:
$$\lim_{n \to +\infty} w_n = \lim_{n \to +\infty} 3 \times (0.7)^{n-1} = 3 \times 0 = 0$$"
SC_ma_24_B_03_05,SC_ma_24_B_03.md,المتتاليات العددية,حساب مجموع حدود متتالية,حساب مجموع متتالية هندسية,"**التمرين 5:**

لتكن المتتالية العددية $(a_n)$ متتالية هندسية حدها الأول $a_0 = 4$ وأساسها $q = \frac{1}{3}$.

**1. اكتب عبارة الحد العام $a_n$ بدلالة $n$.**
**2. أحسب مجموع الحدود $M_n = a_0 + a_1 + \dots + a_n$ بدلالة $n$.**
**3. أحسب نهاية $M_n$ عندما $n \to +\infty$.**","**الحل النموذجي للتمرين 5:**

لدينا المتتالية $(a_n)$ متتالية هندسية حدها الأول $a_0 = 4$ وأساسها $q = \frac{1}{3}$.

**1. كتابة عبارة الحد العام $a_n$ بدلالة $n$:**
عبارة الحد العام لمتتالية هندسية هي $a_n = a_0 \times q^n$.
بتعويض القيم المعطاة:
$$a_n = 4 \times \left(\frac{1}{3}\right)^n$$

**2. حساب مجموع الحدود $M_n = a_0 + a_1 + \dots + a_n$ بدلالة $n$:**
مجموع $n+1$ حدًا الأولى لمتتالية هندسية يعطى بالعلاقة:
$$M_n = a_0 \frac{1 - q^{\text{عدد الحدود}}}{1 - q}$$
عدد الحدود = (دليل الحد الأخير - دليل الحد الأول) + 1 = $(n - 0) + 1 = n+1$.
$$M_n = 4 \frac{1 - \left(\frac{1}{3}\right)^{n+1}}{1 - \frac{1}{3}}$$
$$M_n = 4 \frac{1 - \left(\frac{1}{3}\right)^{n+1}}{\frac{2}{3}}$$
$$M_n = 4 \times \frac{3}{2} \left(1 - \left(\frac{1}{3}\right)^{n+1}\right)$$
$$M_n = 6 \left(1 - \left(\frac{1}{3}\right)^{n+1}\right)$$

**3. حساب نهاية $M_n$ عندما $n \to +\infty$:**
لدينا الأساس $q = \frac{1}{3}$.
بما أن $|q| = |\frac{1}{3}| = \frac{1}{3} < 1$.
فإن $\lim_{n \to +\infty} \left(\frac{1}{3}\right)^{n+1} = 0$.
إذن:
$$\lim_{n \to +\infty} M_n = \lim_{n \to +\infty} 6 \left(1 - \left(\frac{1}{3}\right)^{n+1}\right) = 6 (1 - 0) = 6$$"
SC_ma_24_B_03_06,SC_ma_24_B_03.md,المتتاليات العددية,حل معادلات تتعلق بالمتتاليات,تعيين دليل حد أو عدد حدود من معادلة المجموع,"**التمرين 6:**

لتكن المتتالية $(b_n)$ متتالية هندسية حدها الأول $b_0 = 1$ وأساسها $q = \frac{1}{2}$.
نضع $T_n = b_0 + b_1 + \dots + b_n$.

**1. اكتب عبارة $T_n$ بدلالة $n$.**
**2. عين العدد الطبيعي $n$ الذي يحقق المعادلة $T_n = \frac{127}{64}$.**","**الحل النموذجي للتمرين 6:**

لدينا المتتالية $(b_n)$ متتالية هندسية حدها الأول $b_0 = 1$ وأساسها $q = \frac{1}{2}$.

**1. كتابة عبارة $T_n$ بدلالة $n$:**
$T_n$ هو مجموع $n+1$ حدًا لمتتالية هندسية.
$$T_n = b_0 \frac{1 - q^{\text{عدد الحدود}}}{1 - q}$$
عدد الحدود $= n+1$.
$$T_n = 1 \times \frac{1 - \left(\frac{1}{2}\right)^{n+1}}{1 - \frac{1}{2}}$$
$$T_n = \frac{1 - \left(\frac{1}{2}\right)^{n+1}}{\frac{1}{2}}$$
$$T_n = 2 \left(1 - \left(\frac{1}{2}\right)^{n+1}\right)$$

**2. تعيين العدد الطبيعي $n$ الذي يحقق المعادلة $T_n = \frac{127}{64}$:**
لدينا المعادلة $T_n = \frac{127}{64}$.
$$2 \left(1 - \left(\frac{1}{2}\right)^{n+1}\right) = \frac{127}{64}$$
نقسم الطرفين على 2:
$$1 - \left(\frac{1}{2}\right)^{n+1} = \frac{127}{128}$$
ننقل 1 إلى الطرف الأيمن:
$$- \left(\frac{1}{2}\right)^{n+1} = \frac{127}{128} - 1$$
$$- \left(\frac{1}{2}\right)^{n+1} = \frac{127 - 128}{128}$$
$$- \left(\frac{1}{2}\right)^{n+1} = \frac{-1}{128}$$
نضرب الطرفين في -1:
$$\left(\frac{1}{2}\right)^{n+1} = \frac{1}{128}$$
نعلم أن $128 = 2^7$.
$$\left(\frac{1}{2}\right)^{n+1} = \frac{1}{2^7}$$
$$\left(\frac{1}{2}\right)^{n+1} = \left(\frac{1}{2}\right)^7$$
بمساواة الأسس:
$$n+1 = 7$$
$$n = 7 - 1$$
$$n = 6$$
إذن العدد الطبيعي $n$ الذي يحقق المعادلة هو $n=6$."
SC_ma_24_B_04_01,SC_ma_24_B_04.md,الدوال العددية,قراءة وتحليل التمثيل البياني,تعيين إشارة دالة من تمثيلها البياني,"الدالة $g$ معرّفة على المجال $[0;+\infty[$ بعبارتها $g(x)=\frac{1}{2}x^3+\frac{1}{2}-\ln x$. نفرض أن تمثيلها البياني $(C_g)$ يظهر أنها تبلغ قيمة حدية صغرى عند النقطة ذات الفاصلة $x=1$ حيث $g(1)=1$. 
**عين إشارة $g(x)$ على المجال $[0;+\infty[$ بناءً على هذه المعلومات.**","بما أن التمثيل البياني للدالة $g(x)$ يظهر أن قيمتها الحدية الصغرى هي $g(1)=1$، وهي قيمة موجبة، وأنها متناقصة حتى $x=1$ ثم متزايدة بعده، فإن جميع قيم $g(x)$ تكون أكبر تماماً من الصفر على كامل مجال تعريفها $[0;+\infty[$. 
 إذن: $g(x) > 0$ لكل $x \in [0;+\infty[.$"
SC_ma_24_B_04_02,SC_ma_24_B_04.md,الدوال العددية,حساب النهايات,حساب نهايات دالة عند أطراف مجال تعريفها,"لتكن الدالة $f$ المعرّفة على المجال $[0;+\infty[$ بـ: $f(x)=-x-\frac{\ln x}{x^2}$. 
**احسب $\lim_{x \to +\infty} f(x)$ و $\lim_{x \to 0^+} f(x)$.**","1.  **حساب $\lim_{x \to +\infty} f(x)$:**
    $\lim_{x \to +\infty} f(x) = \lim_{x \to +\infty} (-x-\frac{\ln x}{x^2})$
    نعلم أن $\lim_{x \to +\infty} -x = -\infty$
    ونعلم أن $\lim_{x \to +\infty} \frac{\ln x}{x^2} = 0$ (نهاية شهيرة)
    إذن، $\lim_{x \to +\infty} f(x) = -\infty - 0 = -\infty$.

2.  **حساب $\lim_{x \to 0^+} f(x)$:**
    $\lim_{x \to 0^+} f(x) = \lim_{x \to 0^+} (-x-\frac{\ln x}{x^2})$
    نعلم أن $\lim_{x \to 0^+} -x = 0$
    ولحساب $\lim_{x \to 0^+} \frac{\ln x}{x^2}$:
    $\lim_{x \to 0^+} \ln x = -\infty$
    $\lim_{x \to 0^+} x^2 = 0^+$ (حيث $x^2$ دائماً موجب)
    إذن، $\lim_{x \to 0^+} \frac{\ln x}{x^2} = \frac{-\infty}{0^+} = -\infty$
    وبالتالي، $\lim_{x \to 0^+} -\frac{\ln x}{x^2} = +\infty$
    إذن، $\lim_{x \to 0^+} f(x) = 0 + (+\infty) = +\infty$."
SC_ma_24_B_04_03,SC_ma_24_B_04.md,الدوال العددية,الاشتقاق ودراسة الدوال,حساب مشتقة دالة وإثبات علاقة مع دالة أخرى,"لتكن الدالة $f$ المعرّفة على المجال $[0;+\infty[$ بـ: $f(x)=-x-\frac{\ln x}{x^2}$، والدالة $g$ المعرّفة على نفس المجال بـ: $g(x)=\frac{1}{2}x^3+\frac{1}{2}-\ln x$.
**بين أنه من أجل كل $x$ من المجال $[0;+\infty[$, فإن مشتقة الدالة $f$ هي $f'(x)=\frac{-2g(x)}{x^3}$.**","لحساب مشتقة الدالة $f(x)=-x-\frac{\ln x}{x^2}$: 
مشتقة $-x$ هي $-1$. 
لحساب مشتقة $\frac{\ln x}{x^2}$، نستخدم قاعدة اشتقاق $\frac{u}{v} = \frac{u'v-uv'}{v^2}$
نضع $u=\ln x$ و $v=x^2$.
إذن $u'=\frac{1}{x}$ و $v'=2x$.
مشتقة $\frac{\ln x}{x^2}$ هي: 
$\frac{\frac{1}{x} \cdot x^2 - \ln x \cdot (2x)}{(x^2)^2} = \frac{x - 2x \ln x}{x^4} = \frac{x(1 - 2\ln x)}{x^4} = \frac{1 - 2\ln x}{x^3}$.
إذن، $f'(x) = -1 - \left(\frac{1 - 2\ln x}{x^3}\right) = -1 - \frac{1 - 2\ln x}{x^3}$
نوحد المقامات: 
$f'(x) = \frac{-x^3 - (1 - 2\ln x)}{x^3} = \frac{-x^3 - 1 + 2\ln x}{x^3} = \frac{-(x^3 + 1 - 2\ln x)}{x^3}$
نلاحظ أن الدالة $g(x)=\frac{1}{2}x^3+\frac{1}{2}-\ln x$. بضربها في $-2$ نحصل على: 
$-2g(x) = -2\left(\frac{1}{2}x^3+\frac{1}{2}-\ln x\right) = -x^3 - 1 + 2\ln x$.
إذن، $f'(x) = \frac{-2g(x)}{x^3}$.
وهو المطلوب إثباته."
SC_ma_24_B_04_04,SC_ma_24_B_04.md,الدوال العددية,دراسة اتجاه تغير دالة,استنتاج اتجاه تغير دالة من إشارة مشتقتها وتشكيل جدول التغيرات,"لتكن الدالة $f$ المعرّفة على المجال $[0;+\infty[$ ومشتقتها $f'(x)=\frac{-2g(x)}{x^3}$. وقد علمت أن $g(x) > 0$ لكل $x \in [0;+\infty[$. 
**استنتج اتجاه تغير الدالة $f$ ثم شكل جدول تغيراتها.**","لدراسة اتجاه تغير الدالة $f$، ندرس إشارة مشتقتها $f'(x)$.
لدينا $f'(x)=\frac{-2g(x)}{x^3}$.
*   على المجال $[0;+\infty[$، المقام $x^3$ يكون موجباً ($x^3 > 0$ لكل $x > 0$).
*   أعطي لنا أن $g(x) > 0$ لكل $x \in [0;+\infty[$.
*   إذن، البسط $-2g(x)$ سيكون سالباً تماماً (لأن $-2$ عدد سالب و $g(x)$ موجب).
وبالتالي، إشارة $f'(x)$ سالبة تماماً على المجال $(0;+\infty[$ (باستثناء $x=0$ حيث الدالة غير قابلة للاشتقاق).

بما أن $f'(x) < 0$ على المجال $(0;+\infty[$, فإن الدالة $f$ متناقصة تماماً على هذا المجال.

**جدول التغيرات:**
| $x$           | $0$       |               | $+\infty$    |
| :------------ | :-------- | :------------ | :------------ |
| إشارة $f'(x)$ |           | $-$           | $-$           |
| تغيرات $f(x)$ | $+\infty$ | $\searrow$ | $-\infty$     |

(مع العلم أن $\lim_{x \to 0^+} f(x) = +\infty$ و $\lim_{x \to +\infty} f(x) = -\infty$ من السؤال السابق)."
SC_ma_24_B_04_05,SC_ma_24_B_04.md,الدوال العددية,تطبيق مبرهنة القيم المتوسطة,إثبات وجود حل وحيد لمعادلة باستخدام مبرهنة القيم المتوسطة,"لتكن الدالة $f$ المعرّفة على المجال $[0;+\infty[$ بـ: $f(x)=-x-\frac{\ln x}{x^2}$. وقد علمت أن الدالة $f$ مستمرة ومتناقصة تماماً على هذا المجال. 
وُجد أن $f(0.5) \approx 2.27$ و $f(0.71) \approx -0.03$. 
**أثبت أن المعادلة $f(x)=0$ تقبل حلاً وحيداً $\alpha$ حيث $0.5 < \alpha < 0.71$.**","لإثبات وجود حل وحيد للمعادلة $f(x)=0$ في المجال $(0.5; 0.71)$، نطبق مبرهنة القيم المتوسطة وشروطها:
1.  **الاستمرارية:** الدالة $f$ مستمرة على المجال $[0;+\infty[$، وبالتالي فهي مستمرة على المجال $[0.5; 0.71]$.
2.  **الرتابة:** الدالة $f$ متناقصة تماماً على المجال $[0;+\infty[$، وبالتالي فهي رتيبة تماماً على المجال $[0.5; 0.71]$.
3.  **تغير الإشارة:** نحسب قيم الدالة عند طرفي المجال:
    *   $f(0.5) \approx 2.27$ (قيمة موجبة)
    *   $f(0.71) \approx -0.03$ (قيمة سالبة)
    بما أن $f(0.5) \cdot f(0.71) < 0$ (أي أن $0$ ينتمي إلى المجال $[f(0.71), f(0.5)]$), وحيث أن الدالة $f$ مستمرة ورتيبة تماماً على المجال $[0.5; 0.71]$، فإنه حسب مبرهنة القيم المتوسطة، يوجد حل وحيد $\alpha$ للمعادلة $f(x)=0$ في هذا المجال، أي $0.5 < \alpha < 0.71$."
SC_ma_24_B_04_06,SC_ma_24_B_04.md,الدوال العددية,دراسة المستقيمات المقاربة,إثبات وجود مستقيم مقارب مائل وتعيين معادلته,"لتكن الدالة $f$ المعرّفة على المجال $[0;+\infty[$ بـ: $f(x)=-x-\frac{\ln x}{x^2}$. 
**بين أن المنحني $(C_f)$ يقبل مستقيماً مقارباً مائلاً $(\Delta)$ عند $+\infty$ ، ثم عيّن معادلته.**","ليقبل المنحني $(C_f)$ مستقيماً مقارباً مائلاً $(\Delta)$ معادلته $y=ax+b$ عند $+\infty$، يجب أن تكون $\lim_{x \to +\infty} [f(x) - (ax+b)] = 0$.
لدينا $f(x)=-x-\frac{\ln x}{x^2}$.
نقارن هذه العبارة بالصيغة $ax+b + \phi(x)$ حيث $\lim_{x \to +\infty} \phi(x) = 0$.
نلاحظ أن: 
$f(x) = (-1)x + 0 - \frac{\ln x}{x^2}$.
بأخذ $a=-1$ و $b=0$, تكون $\phi(x) = -\frac{\ln x}{x^2}$.
نحن نعلم من حساب النهايات أن $\lim_{x \to +\infty} \frac{\ln x}{x^2} = 0$.
إذن $\lim_{x \to +\infty} [f(x) - (-x)] = \lim_{x \to +\infty} [(-x-\frac{\ln x}{x^2}) - (-x)] = \lim_{x \to +\infty} (-\frac{\ln x}{x^2}) = 0$.
هذا يثبت أن المنحني $(C_f)$ يقبل مستقيماً مقارباً مائلاً $(\Delta)$ عند $+\infty$ معادلته $y=-x$."
